Group.1;Anatidae;Centrocercus;Centrocercus urophasianus;Dendragapus;Fratercula arctica;Laridae;Neognathae;Tetrao urogallus;Tetraoninae;Tetrastes bonasia;Tympanuchus
BBY003BR1_2_s_2;0;0;0;539;0;0;12291;0;386246;52360;264
BBY003BR1_s_1;0;371;0;523;0;0;22755;0;251120;53306;248
BBY003BR2_2_s_2;0;0;0;0;0;0;1584;0;161375;18947;0
BBY003BR2_s_1;0;728;0;842;0;0;25934;738;325285;104300;393
BBY003BR3_2_s_2;0;384;0;488;0;0;0;308;214761;30675;207
BBY003BR3_s_1;0;706;252;1342;0;0;297;615;308534;55506;759
BBY011BR1_s_1;0;0;0;0;98350;0;0;0;0;0;0
BBY011BR3_2_s_2;0;0;0;0;0;803269;0;0;0;0;0
BBY011BR3_s_1;0;0;0;0;0;305995;0;0;0;0;0
BBY016BR2_2_s_2;298822;0;0;0;0;0;0;0;0;0;0
