Group.1;Acanthomorphata;Artedius lateralis;Barbatula;Brosme brosme;Carangaria;Centrarchiformes;Cottidae;Cottioidei;Ctenosquamata;Cyclopterinae;Enophrys diceraus;Esox masquinongy;Euacanthomorphacea;Eupercaria;Euteleosteomorpha;Gadidae;Gadiformes;Gadoidei;Gadus morhua;Gaidropsarus;Gobio gobio;Ipnops sp. auip01;Leuciscinae;Limanda;Lycodinae;Microgadus;Microhylinae;Molva molva;Nasikabatrachus;Neobatrachia;Perciformes;Percomorphaceae;Pleuronectidae;Salmonidae;Sebastinae;Sebastiscus marmoratus;Seriola;Taurulus bubalis
AB022EB1_2_eb_2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31902;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BBY001_s_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;175552;0;308;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BBY003BR1_2_s_2;0;379;0;0;0;0;3046;0;0;0;0;1145;0;362;587;13846;0;367;246;0;0;0;0;61073;0;0;0;0;0;0;2905;0;4985;0;0;0;217;0
BBY003BR1_s_1;269;950;0;0;0;0;9260;0;264;0;0;1841;0;591;1356;27039;0;0;318;0;0;0;0;115925;0;0;0;0;0;0;3955;0;7538;0;0;0;477;0
BBY003BR2_2_s_2;0;0;0;0;0;0;1516;709;0;0;0;0;0;6070;223;4187;0;0;659;0;0;779;0;6750;0;0;0;0;0;0;86253;1066;2643;0;0;0;0;0
BBY003BR2_s_1;0;0;0;0;0;0;2849;921;0;0;0;0;0;8727;0;4103;0;0;467;0;0;607;0;6081;0;0;0;0;0;0;127392;769;1477;0;0;0;0;0
BBY004BR1_2_s_2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;864063;0;192666;840;1401;0;0;0;0;0;0;0;347331;0;0;0;0;0;698;0;0;0;0
BBY004BR1_s_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86274;0;14860;0;201;0;0;0;0;0;0;0;37330;0;0;0;0;0;0;0;0;0;0
BBY004BR2_2_s_2;0;0;0;0;0;0;0;0;0;0;0;0;0;226;0;660162;0;129310;615;1604;0;0;0;0;0;0;349;612633;0;0;0;577;0;0;1164;1066;0;0
BBY004BR2_s_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35364;0;4800;0;0;0;0;0;0;0;0;0;27601;0;0;0;0;0;0;0;0;0;0
BBY004BR3_2_s_2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;298104;0;59137;223;938;0;0;0;0;0;0;0;222282;0;0;0;0;0;0;0;0;0;0
BBY004BR3_s_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82557;0;15718;0;226;0;0;0;0;0;0;0;56987;0;0;0;0;0;0;0;0;0;0
BBY005BR1_2_s_2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7092;0;1730;0;227;0;0;0;0;0;0;0;40776;0;0;1823;0;0;0;0;0;0;0
BBY005BR1_s_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27481;0;5404;0;296;0;0;0;0;0;0;0;142685;0;0;778;0;0;0;0;0;0;0
BBY005BR2_2_s_2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12660;0;2811;0;0;0;0;0;0;0;0;0;122686;0;0;0;0;879;0;0;0;0;0
BBY005BR2_s_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16822;0;3537;0;0;0;0;0;0;0;0;0;159321;0;0;0;0;690;0;0;0;0;0
BBY007BR1_2_s_2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35200;0;4973;0;0;0;0;0;0;0;0;0;9936;0;0;0;0;13138;0;0;0;0;0
BBY007BR1_s_1;0;0;0;0;0;0;2159;0;0;0;0;0;0;1400;0;2398;0;290;0;0;0;455;0;31914;0;0;0;0;0;0;12381;0;4037;0;0;0;0;0
BBY007BR2_2_s_2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67184;0;13664;0;510;683;0;0;0;0;0;0;48415;0;0;0;0;30003;0;0;0;0;0
BBY007BR2_s_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86608;0;11209;0;282;0;0;0;0;0;0;0;63032;0;0;0;0;40249;0;0;0;0;0
BBY007BR3_2_s_2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34786;0;2872;0;0;0;0;0;0;0;0;0;11542;0;0;0;0;5654;0;227;0;0;0
BBY007BR3_s_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81520;0;8093;0;0;0;0;0;0;0;0;0;31084;0;0;0;0;21470;0;650;0;0;0
BBY008BR1_2_s_2;603;0;0;10274;0;0;0;0;0;0;0;0;0;0;1232;659126;0;185782;497;5418;0;0;0;0;0;0;31721;759571;315;1544;0;0;103438;0;0;0;0;0
BBY008BR1_s_1;0;0;0;323;0;0;0;0;0;0;0;0;0;0;0;23971;0;4970;0;0;0;0;0;0;0;0;0;25146;0;0;0;0;2214;0;0;0;0;0
BBY008BR2_2_s_2;241;0;0;124529;0;0;0;0;0;0;0;0;0;0;0;176445;0;89254;0;4926;0;0;0;0;0;739;0;906220;0;0;0;0;10423;0;0;0;0;0
BBY008BR2_s_1;0;0;0;90182;0;0;0;0;0;0;0;0;0;0;0;153577;0;50242;0;403;0;0;0;0;0;464;0;677556;0;0;0;0;9858;0;0;0;0;0
BBY008BR3_2_s_2;0;0;0;305;0;0;0;0;0;0;0;0;0;0;0;16899;0;3276;0;0;0;0;0;0;0;0;0;3692;0;0;0;0;799;0;0;0;0;0
BBY008BR3_s_1;214;0;0;7294;0;0;0;0;0;0;0;0;0;0;0;494517;0;79487;0;1191;0;0;0;0;0;0;0;76182;0;0;0;0;13050;0;0;0;0;0
BBY009BR1_2_s_2;0;0;0;872;0;0;0;0;0;0;0;0;0;0;0;6776;0;1063;0;0;0;0;0;0;0;0;0;6018;0;0;0;0;0;0;0;0;0;0
BBY009BR1_s_1;0;0;0;612;0;0;0;0;0;0;0;0;0;0;0;5620;0;882;0;0;0;0;0;0;0;0;0;4851;0;0;0;0;0;0;0;0;0;0
BBY009BR2_2_s_2;224;0;0;2730;0;0;0;0;0;0;0;0;0;1063;416;35421;0;8976;1156;0;0;0;0;0;0;0;0;53008;0;0;14905;1544;8111;0;0;0;0;756
BBY009BR2_s_1;0;0;0;1646;0;0;0;0;0;0;0;0;0;591;423;24576;0;3527;1582;0;0;0;0;0;0;0;0;31999;0;0;13758;2262;2935;0;0;0;0;438
BBY009BR3_2_s_2;0;0;0;7484;0;0;0;0;0;0;0;0;0;0;0;45884;0;9538;0;0;0;0;0;0;0;0;0;40047;0;0;369;0;61403;0;0;0;0;0
BBY009BR3_s_1;0;0;0;1522;0;0;0;0;0;0;0;0;0;0;0;10081;0;1778;0;0;0;0;0;0;0;0;0;6526;0;0;0;0;11205;0;0;0;0;0
BBY011BR1_2_s_2;0;0;0;251;0;0;0;0;0;0;0;0;0;0;0;70035;0;15587;0;0;0;0;0;0;0;0;0;53661;0;0;450;0;6291;0;0;0;0;0
BBY011BR1_s_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15627;0;2881;0;0;0;0;0;0;0;0;0;10182;0;0;312;0;1237;0;0;0;0;0
BBY011BR2_2_s_2;373;0;0;579;0;0;0;0;0;0;0;0;0;1701;581;72633;0;19457;1605;0;0;0;0;0;0;0;0;84691;0;0;18961;1904;4218;0;0;0;0;630
BBY011BR2_s_1;217;0;0;856;0;0;0;0;0;0;0;0;0;4631;318;98349;0;29970;911;918;0;0;0;0;211;0;0;135398;0;0;39567;1343;6715;0;245;0;0;354
BBY011BR3_2_s_2;0;0;0;1709;0;0;0;0;0;0;0;0;0;0;0;89485;0;21716;0;282;0;0;0;0;0;0;0;59633;0;0;327;510;3384;0;1215;0;0;0
BBY011BR3_s_1;0;0;0;1952;0;0;0;0;0;0;0;0;0;0;0;94891;0;21441;0;0;0;0;0;0;0;0;0;53564;0;0;0;405;3782;0;1144;0;0;584
BBY012_2_s_2;0;0;0;0;0;0;0;0;698;0;0;0;0;0;0;28976;0;0;384;0;0;0;0;0;0;0;0;11481;0;0;50603;0;0;0;0;0;0;0
BBY012_s_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4030;0;0;0;0;0;0;0;0;0;0;0;36374;0;0;9947;0;0;0;0;0;0;0
