Group.1;Anarhichas lupus;Anarrhichthys ocellatus;Anser;Bilateria;Brosme brosme;Canis;Cottidae;Cyclopterus lumpus;Felidae;Gadidae;Gadus morhua;Hippoglossus hippoglossus;Lemmus trimucronatus;Lepus;Leuciscinae;Lyrurus tetrix;Microtus agrestis;Molva molva;Myodes glareolus;Myodes rutilus;Phocidae;Pholis;Pholis gunnellus;Pleuronectidae;Pollachius virens;Ranidae;Sorex;Sorex minutus;Taurulus bubalis;Zoarcales
BBY002BR2_2_s_2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140601;0;30560;1499;0;0;0;0;0;0;5610;2199;0;0
BBY002BR2_s_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44249;0;8172;484;0;0;0;0;0;0;954;477;0;0
BBY003BR1_2_s_2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12473;0;216;0;0;0;0;1552;374;0;0;0;0;0
BBY003BR1_s_1;0;0;0;0;0;0;327;0;1112;226;0;0;0;0;0;872;95991;0;1404;0;0;0;0;16036;4078;0;2049;0;0;447
BBY003BR2_2_s_2;0;0;0;0;0;0;248;0;25370;0;0;0;0;0;0;0;25816;0;0;0;0;0;426;1279;793;0;0;0;0;11840
BBY003BR2_s_1;652;253;0;0;0;0;597;0;90815;0;0;0;0;0;0;216;116206;0;0;0;0;0;1169;4031;3260;0;278;0;0;33018
BBY003BR3_2_s_2;0;0;0;0;0;0;0;0;0;1279;0;0;0;0;0;0;57470;0;540;0;0;0;1548;14003;0;0;10949;0;0;900
BBY003BR3_s_1;0;0;0;0;0;0;0;0;0;369;0;0;0;0;0;0;15109;0;250;0;0;0;601;3754;0;0;3155;0;0;291
BBY006BR1_2_s_2;0;0;0;0;0;0;0;0;0;1519;0;0;0;0;0;0;77855;0;62746;881;0;0;0;0;0;0;529;0;0;0
BBY006BR2_2_s_2;0;0;782;0;0;0;0;0;0;0;0;0;8069;0;0;0;222;0;0;0;8154;0;0;0;0;1738;0;0;0;0
BBY006BR2_s_1;0;0;4579;0;0;0;0;0;0;0;0;0;15944;0;0;0;399;0;0;0;16546;0;0;0;0;2879;0;0;0;0
BBY006BR3_2_s_2;0;0;526;0;0;0;0;0;0;0;0;0;5962;0;0;0;333;0;0;0;6520;0;0;0;0;1417;0;0;0;0
BBY006BR3_s_1;0;0;327;0;0;0;0;0;0;0;0;0;8287;0;0;0;386;0;0;0;6846;0;0;0;0;1271;0;0;0;0
BBY007BR1_2_s_2;0;0;0;0;0;0;0;0;0;77304;3363;0;0;0;0;0;0;12435;0;0;0;0;0;9395;1576;0;0;0;0;0
BBY007BR1_s_1;0;0;0;0;0;0;0;0;0;118991;7165;0;0;0;0;0;0;24785;0;0;0;0;0;20827;1840;0;0;0;0;0
BBY007BR2_2_s_2;0;0;0;0;0;0;0;0;0;5853;0;0;0;0;0;0;4316;3315;0;0;0;0;0;801;0;0;0;0;0;0
BBY007BR2_s_1;0;0;0;0;0;0;0;0;0;11046;258;0;0;0;0;0;6421;5343;0;0;0;0;0;2642;209;0;0;0;0;0
BBY007BR3_2_s_2;0;0;0;0;0;0;0;0;0;48203;1805;0;305;0;0;0;352;9267;0;0;0;0;0;3105;301;0;0;0;0;0
BBY007BR3_s_1;0;0;0;0;0;0;0;0;0;66055;2684;0;434;0;0;0;349;17900;0;0;0;0;0;3896;0;0;0;0;0;0
BBY010BR2_2_s_2;0;0;0;0;0;0;0;0;0;0;0;0;345;0;0;0;0;0;0;0;0;0;0;0;0;740;0;0;0;0
BBY010BR2_s_1;0;0;0;0;0;0;0;0;0;0;0;0;498;0;0;0;0;0;0;0;0;0;0;0;0;806;0;0;0;0
BBY010BR3_2_s_2;0;0;0;0;0;0;0;0;0;6003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;285;0;0;0;0
BBY010BR3_s_1;0;0;0;0;0;0;0;0;0;45459;438;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2067;0;0;0;0
BBY011BR1_2_s_2;0;0;0;0;0;0;0;0;0;11753;1659;264;0;0;0;0;0;7525;0;0;325;0;0;0;2393;0;0;0;0;0
BBY011BR1_s_1;0;0;0;0;281;0;0;0;0;21352;3219;497;398;0;0;0;210;15284;0;0;1280;0;246;0;4752;0;0;0;0;0
BBY011BR2_2_s_2;0;0;0;0;0;0;0;0;15893;0;0;0;0;0;0;0;19128;0;0;0;0;0;233;582;426;0;0;0;0;5463
BBY011BR2_s_1;0;0;0;0;413;0;0;0;0;36994;5992;609;0;0;0;0;351;35613;0;0;1223;541;12760;0;1679;0;0;0;0;0
BBY011BR3_2_s_2;0;0;0;0;325;0;0;0;0;24779;5112;216;6089;0;0;0;0;10223;0;0;0;0;0;396;1973;0;0;0;0;0
BBY011BR3_s_1;0;0;0;0;452;0;0;0;0;35851;7043;294;12309;0;0;0;0;15380;0;0;457;0;0;321;3189;293;0;0;0;0
BBY014BR1_s_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42358;0;0;0
BBY014BR2_2_s_2;0;0;922;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34257;0;0;0
BBY014BR2_s_1;0;0;519;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46709;0;0;0
BBY015BR1_2_s_2;0;0;0;0;0;0;3387;0;0;33539;1308;0;0;6014;0;0;0;2598;0;0;0;0;0;448;1113;0;23721;0;0;1108
BBY015BR1_s_1;379;0;0;0;0;0;13997;0;0;131643;4542;560;0;31395;0;0;0;11498;0;0;0;0;0;3312;3382;0;91967;0;0;3701
BBY015BR2_2_s_2;292;0;0;0;0;0;15089;0;0;63681;3810;0;0;0;0;0;0;1953;0;0;0;0;0;15458;2190;0;97514;0;0;14481
BBY015BR2_s_1;311;0;0;0;0;0;20047;0;0;60279;3769;0;0;260;0;0;0;2097;0;0;0;0;0;16541;1754;0;75615;0;0;15933
BBY015BR3_2_s_2;0;0;0;0;0;0;4732;0;0;106828;3020;16281;0;9760;0;0;0;1757;0;0;0;0;0;18458;1211;0;10594;0;0;907
BBY015BR3_s_1;0;200;0;0;0;0;10054;0;0;143761;4491;27913;0;5098;0;0;0;1700;0;0;0;0;0;24426;2113;0;12315;0;0;1843
BBY016BR1_2_s_2;0;0;0;0;0;833;250;0;0;120817;9447;7624;459;355;0;0;0;14691;15809;416;0;0;0;431;1552;0;4303;0;595;0
BBY016BR1_s_1;0;0;0;0;0;238;0;0;0;23653;1285;1440;0;0;0;0;0;2842;3142;0;0;0;0;0;374;0;1124;0;0;0
BBY016BR2_2_s_2;0;0;0;0;0;0;0;0;0;23641;1067;1197;0;2861;0;0;0;3015;258;0;0;0;0;0;0;0;0;0;0;0
BBY016BR2_s_1;0;0;0;0;0;0;0;0;0;21541;829;556;0;1835;0;0;0;2844;237;0;0;0;0;0;0;0;0;0;0;0
BBY016BR3_2_s_2;0;0;0;0;0;0;0;0;0;40113;2804;2046;0;0;0;0;0;10433;10487;0;0;0;0;988;0;0;9938;0;0;0
BBY016BR3_s_1;0;0;0;0;0;0;0;421;0;66849;3945;3220;0;371;0;0;0;16147;17809;0;0;0;0;1212;294;0;20999;0;0;0
BBY019_2_s_2;0;0;0;13593;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BBY020_2_s_2;0;0;0;5066;0;0;0;0;0;0;0;0;0;0;0;0;0;19253;0;0;0;0;0;0;0;0;0;0;0;0
