sample_id;Biological_repeat;Bio_rep;PCR_repeat;Type;Lab_id;PCR_id;Bergen_id;Field_id;Cave;X_coord;Y_coord;Layer_no;Layer;Group
AB022EB1_2_eb_2;0;AB022EB1R2;2;Blank;AB022EB1;AB022EB1R2;N/A;N/A;NY;N/A;N/A;N/A;N/A;Blank
BBY001_s_1;1;BBY001NBR;1;Bulk bone;BBY001;BBY001_1;Id.1, 3 ,29, 30;B-GR-YA1006, B-GR-YA1018, B-GR-YA10X1;NY;106;201;A1;A;Fish
BBY003BR1_2_s_2;1;BBY003BR1;2;Bulk bone;BBY003;BBY003BR1_2;Id.2, 31;B-GR-YA1006, B-GR-YA10X1;NY;106;201;A1;A;Unidentified
BBY003BR1_s_1;1;BBY003BR1;1;Bulk bone;BBY003;BBY003BR1_1;Id.2, 31;B-GR-YA1006, B-GR-YA10X1;NY;106;201;A1;A;Unidentified
BBY003BR2_2_s_2;2;BBY003BR2;2;Bulk bone;BBY003;BBY003BR2_2;Id.2, 31;B-GR-YA1006, B-GR-YA10X1;NY;106;201;A1;A;Unidentified
BBY003BR2_s_1;2;BBY003BR2;1;Bulk bone;BBY003;BBY003BR2_s_1;Id.2, 31;B-GR-YA1006, B-GR-YA10X1;NY;106;201;A1;A;Unidentified
BBY004BR1_2_s_2;1;BBY004BR1;2;Bulk bone;BBY004;BBY004BR1_2;Id. 63-65, 71-75, 84, 85;B-GR-YB1012, B-GR-YB10X1, B-GR-YB1004;NY;106;201;B1;B;Fish
BBY004BR1_s_1;1;BBY004BR1;1;Bulk bone;BBY004;BBY004BR1_1;Id. 63-65, 71-75, 84, 85;B-GR-YB1012, B-GR-YB10X1, B-GR-YB1004;NY;106;201;B1;B;Fish
BBY004BR2_2_s_2;2;BBY004BR2;2;Bulk bone;BBY004;BBY004BR2_2;Id. 63-65, 71-75, 84, 85;B-GR-YB1012, B-GR-YB10X1, B-GR-YB1004;NY;106;201;B1;B;Fish
BBY004BR2_s_1;2;BBY004BR2;1;Bulk bone;BBY004;BBY004BR2_1;Id. 63-65, 71-75, 84, 85;B-GR-YB1012, B-GR-YB10X1, B-GR-YB1004;NY;106;201;B1;B;Fish
BBY004BR3_2_s_2;3;BBY004BR3;2;Bulk bone;BBY004;BBY004BR3_2;Id. 63-65, 71-75, 84, 85;B-GR-YB1012, B-GR-YB10X1, B-GR-YB1004;NY;106;201;B1;B;Fish
BBY004BR3_s_1;3;BBY004BR3;1;Bulk bone;BBY004;BBY004BR3_1;Id. 63-65, 71-75, 84, 85;B-GR-YB1012, B-GR-YB10X1, B-GR-YB1004;NY;106;201;B1;B;Fish
BBY005BR1_2_s_2;1;BBY005BR1;2;Bulk bone;BBY005;BBY005BR1_2;Id. 33, 35, 36, 58;B-GR-YB1011, B-GR-YB1005;NY;106;201;B1;B;Fish
BBY005BR1_s_1;1;BBY005BR1;1;Bulk bone;BBY005;BBY005BR1_1;Id. 33, 35, 36, 58;B-GR-YB1011, B-GR-YB1005;NY;106;201;B1;B;Fish
BBY005BR2_2_s_2;2;BBY005BR2;2;Bulk bone;BBY005;BBY005BR2_2;Id. 33, 35, 36, 58;B-GR-YB1011, B-GR-YB1005;NY;106;201;B1;B;Fish
BBY005BR2_s_1;2;BBY005BR2;1;Bulk bone;BBY005;BBY005BR2_1;Id. 33, 35, 36, 58;B-GR-YB1011, B-GR-YB1005;NY;106;201;B1;B;Fish
BBY007BR1_2_s_2;1;BBY007BR1;2;Bulk bone;BBY007;BBY007BR1_2;Id. 32;B-GR-YB1011;NY;106;201;B1;B;Unidentified
BBY007BR1_s_1;1;BBY007BR1;1;Bulk bone;BBY007;BBY007BR1_1;Id. 32;B-GR-YB1011;NY;106;201;B1;B;Unidentified
BBY007BR2_2_s_2;2;BBY007BR2;2;Bulk bone;BBY007;BBY007BR2_2;Id. 32;B-GR-YB1011;NY;106;201;B1;B;Unidentified
BBY007BR2_s_1;2;BBY007BR2;1;Bulk bone;BBY007;BBY007BR2_1;Id. 32;B-GR-YB1011;NY;106;201;B1;B;Unidentified
BBY007BR3_2_s_2;3;BBY007BR3;2;Bulk bone;BBY007;BBY007BR3_2;Id. 32;B-GR-YB1011;NY;106;201;B1;B;Unidentified
BBY007BR3_s_1;3;BBY007BR3;1;Bulk bone;BBY007;BBY007BR3_1;Id. 32;B-GR-YB1011;NY;106;201;B1;B;Unidentified
BBY008BR1_2_s_2;1;BBY008BR1;2;Bulk bone;BBY008;BBY008BR1_2;Id. 90, 92, 95, 99-103, 105, 106;B-GR-YB2003, B-GR-YB2014;NY;106;201;B2;B;Fish
BBY008BR1_s_1;1;BBY008BR1;1;Bulk bone;BBY008;BBY008BR1_1;Id. 90, 92, 95, 99-103, 105, 106;B-GR-YB2003, B-GR-YB2014;NY;106;201;B2;B;Fish
BBY008BR2_2_s_2;2;BBY008BR2;2;Bulk bone;BBY008;BBY008BR2_2;Id. 90, 92, 95, 99-103, 105, 106;B-GR-YB2003, B-GR-YB2014;NY;106;201;B2;B;Fish
BBY008BR2_s_1;2;BBY008BR2;1;Bulk bone;BBY008;BBY008BR2_1;Id. 90, 92, 95, 99-103, 105, 106;B-GR-YB2003, B-GR-YB2014;NY;106;201;B2;B;Fish
BBY008BR3_2_s_2;3;BBY008BR3;2;Bulk bone;BBY008;BBY008BR3_2;Id. 90, 92, 95, 99-103, 105, 106;B-GR-YB2003, B-GR-YB2014;NY;106;201;B2;B;Fish
BBY008BR3_s_1;3;BBY008BR3;1;Bulk bone;BBY008;BBY008BR3_1;Id. 90, 92, 95, 99-103, 105, 106;B-GR-YB2003, B-GR-YB2014;NY;106;201;B2;B;Fish
BBY009BR1_2_s_2;1;BBY009BR1;2;Bulk bone;BBY009;BBY009BR1_2;Id. 121-125, 127-132, 148, 149, 160-166;B-GR-YB2011, B-GR-YB2012, B-GR-YB2013;NY;106;201;B2;B;Fish
